,order_id,order_placement_date,customer_id,customer_name,city,product_id,product_name,category,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,Item_In_Full,Item_On_Time,Item_On_Time_In_Full,ord_on_time,ord_in_full,ord_otif,Amount_INR
18,FMR33621603,2025-03-01,789621,Expert Mart,Ahmedabad,25891203,AM Butter 500,Dairy,138,2025-03-03,2025-03-03,138,1,1,1,1,1,1,300.0
19,FMR34520301,2025-03-01,789520,Fairway Market,"New Jersey, US",25891203,AM Butter 500,Dairy,172,2025-03-04,2025-03-04,155,0,1,0,1,0,0,114627.15
20,FMR33702302,2025-03-01,789702,Sorefoz Mart,Ahmedabad,25891302,AM Ghee 150,Dairy,38,2025-03-03,2025-03-03,30,0,1,0,1,0,0,135.0
21,FMR32320302,2025-03-01,789320,Whole Foods Market,"New Jersey, US",25891302,AM Ghee 150,Dairy,54,2025-03-02,2025-03-02,54,1,1,1,1,1,1,17748.72
22,FMR34603302,2025-03-01,789603,Info Stores,Vadodara,25891302,AM Ghee 150,Dairy,37,2025-03-04,2025-03-04,37,1,1,1,1,1,1,135.0
23,FMR34721502,2025-03-01,789721,Logic Stores,Ahmedabad,25891302,AM Ghee 150,Dairy,63,2025-03-04,2025-03-05,60,0,0,0,0,0,0,135.0
24,FMR33621302,2025-03-01,789621,Expert Mart,Ahmedabad,25891302,AM Ghee 150,Dairy,56,2025-03-03,2025-03-04,56,1,0,0,0,1,0,135.0
25,FMR32520302,2025-03-01,789520,Fairway Market,"New Jersey, US",25891302,AM Ghee 150,Dairy,54,2025-03-02,2025-03-03,49,0,0,0,0,0,0,16105.32
26,FMR33520601,2025-03-01,789520,Fairway Market,"New Jersey, US",25891302,AM Ghee 150,Dairy,42,2025-03-03,2025-03-05,34,0,0,0,0,0,0,11175.12
27,FMR34520302,2025-03-01,789520,Fairway Market,"New Jersey, US",25891302,AM Ghee 150,Dairy,23,2025-03-04,2025-03-05,22,0,0,0,0,0,0,7230.96
28,FMR32420602,2025-03-01,789420,Lidl,"New Jersey, US",25891302,AM Ghee 150,Dairy,49,2025-03-02,2025-03-04,49,1,0,0,0,0,0,16105.32
29,FMR32902402,2025-03-01,789902,Elite Mart,Ahmedabad,25891302,AM Ghee 150,Dairy,70,2025-03-02,2025-03-02,70,1,1,1,1,1,1,135.0
30,FMR32521302,2025-03-01,789521,Acclaimed Stores,Ahmedabad,25891302,AM Ghee 150,Dairy,34,2025-03-02,2025-03-03,34,1,0,0,0,1,0,135.0
31,FMR32720302,2025-03-01,789720,Colonial Farms,"New Jersey, US",25891302,AM Ghee 150,Dairy,49,2025-03-02,2025-03-02,49,1,1,1,1,1,1,16105.32
32,FMR33401603,2025-03-01,789401,Wegmans,"New Jersey, US",25891302,AM Ghee 150,Dairy,40,2025-03-03,2025-03-03,40,1,1,1,1,0,0,13147.2
33,FMR33121302,2025-03-01,789121,Coolblue,Ahmedabad,25891302,AM Ghee 150,Dairy,26,2025-03-03,2025-03-03,26,1,1,1,1,1,1,135.0
34,FMR32903403,2025-03-01,789903,Elite Mart,Vadodara,25891302,AM Ghee 150,Dairy,42,2025-03-02,2025-03-02,40,0,1,0,1,0,0,135.0
35,FMR32422302,2025-03-01,789422,Lotus Mart,Vadodara,25891302,AM Ghee 150,Dairy,67,2025-03-02,2025-03-05,54,0,0,0,0,0,0,135.0
36,FMR32301302,2025-03-01,789301,Foodtown,"New Jersey, US",25891302,AM Ghee 150,Dairy,29,2025-03-02,2025-03-05,29,1,0,0,0,1,0,9531.72
37,FMR33721603,2025-03-01,789721,Logic Stores,Ahmedabad,25891301,AM Ghee 250,Dairy,59,2025-03-03,2025-03-03,59,1,1,1,1,1,1,225.0
38,FMR32420403,2025-03-01,789420,Lidl,"New Jersey, US",25891301,AM Ghee 250,Dairy,87,2025-03-02,2025-03-02,87,1,1,1,1,0,0,42892.74
39,FMR33420301,2025-03-01,789420,Lidl,"New Jersey, US",25891301,AM Ghee 250,Dairy,23,2025-03-03,2025-03-05,18,0,0,0,0,0,0,8874.36
40,FMR33320501,2025-03-01,789320,Whole Foods Market,"New Jersey, US",25891301,AM Ghee 250,Dairy,46,2025-03-03,2025-03-03,46,1,1,1,1,0,0,22678.92
41,FMR33122301,2025-03-01,789122,Coolblue,Vadodara,25891301,AM Ghee 250,Dairy,29,2025-03-03,2025-03-05,26,0,0,0,0,0,0,225.0
42,FMR34101301,2025-03-01,789101,Costco Wholesale,"New Jersey, US",25891301,AM Ghee 250,Dairy,76,2025-03-04,2025-03-04,76,1,1,1,1,1,1,37469.52
43,FMR33421301,2025-03-01,789421,Lotus Mart,Ahmedabad,25891301,AM Ghee 250,Dairy,75,2025-03-03,2025-03-05,67,0,0,0,0,0,0,225.0
44,FMR34421301,2025-03-01,789421,Lotus Mart,Ahmedabad,25891301,AM Ghee 250,Dairy,47,2025-03-04,2025-03-04,45,0,1,0,1,0,0,225.0
45,FMR34103403,2025-03-01,789103,Vijay Stores,Vadodara,25891301,AM Ghee 250,Dairy,71,2025-03-04,2025-03-04,67,0,1,0,1,0,0,225.0
46,FMR32121301,2025-03-01,789121,Coolblue,Ahmedabad,25891301,AM Ghee 250,Dairy,72,2025-03-02,2025-03-03,65,0,0,0,0,0,0,225.0
47,FMR34203601,2025-03-01,789203,Rel Fresh,Vadodara,25891301,AM Ghee 250,Dairy,100,2025-03-04,2025-03-04,100,1,1,1,1,1,1,225.0
48,FMR33402303,2025-03-01,789402,Propel Mart,Ahmedabad,25891301,AM Ghee 250,Dairy,94,2025-03-03,2025-03-03,94,1,1,1,1,1,1,225.0
49,FMR34221301,2025-03-01,789221,Atlas Stores,Ahmedabad,25891301,AM Ghee 250,Dairy,44,2025-03-04,2025-03-04,44,1,1,1,1,1,1,225.0
50,FMR34202301,2025-03-01,789202,Rel Fresh,Ahmedabad,25891301,AM Ghee 250,Dairy,45,2025-03-04,2025-03-04,45,1,1,1,1,1,1,225.0
51,FMR32522301,2025-03-01,789522,Acclaimed Stores,Vadodara,25891301,AM Ghee 250,Dairy,46,2025-03-02,2025-03-03,46,1,0,0,0,1,0,225.0
52,FMR34522403,2025-03-01,789522,Acclaimed Stores,Vadodara,25891301,AM Ghee 250,Dairy,47,2025-03-04,2025-03-05,38,0,0,0,0,0,0,225.0
53,FMR34520301,2025-03-01,789520,Fairway Market,"New Jersey, US",25891301,AM Ghee 250,Dairy,38,2025-03-04,2025-03-04,34,0,1,0,1,0,0,16762.68
54,FMR33301301,2025-03-01,789301,Foodtown,"New Jersey, US",25891301,AM Ghee 250,Dairy,92,2025-03-03,2025-03-03,83,0,1,0,1,0,0,40920.659999999996
55,FMR34303602,2025-03-01,789303,Expression Stores,Vadodara,25891301,AM Ghee 250,Dairy,44,2025-03-04,2025-03-04,40,0,1,0,1,0,0,225.0
56,FMR33220603,2025-03-01,789220,ShopRite,"New Jersey, US",25891301,AM Ghee 250,Dairy,75,2025-03-03,2025-03-03,75,1,1,1,1,0,0,36976.5
57,FMR32422301,2025-03-01,789422,Lotus Mart,Vadodara,25891301,AM Ghee 250,Dairy,63,2025-03-02,2025-03-02,63,1,1,1,1,1,1,225.0
58,FMR33422301,2025-03-01,789422,Lotus Mart,Vadodara,25891301,AM Ghee 250,Dairy,63,2025-03-03,2025-03-05,60,0,0,0,0,0,0,225.0
59,FMR34303602,2025-03-01,789303,Expression Stores,Vadodara,25891102,AM Milk 250,Dairy,352,2025-03-04,2025-03-04,317,0,1,0,1,0,0,62.0
60,FMR34401102,2025-03-01,789401,Wegmans,"New Jersey, US",25891102,AM Milk 250,Dairy,369,2025-03-04,2025-03-03,369,1,1,1,1,1,1,60641.46
61,FMR34520302,2025-03-01,789520,Fairway Market,"New Jersey, US",25891102,AM Milk 250,Dairy,373,2025-03-04,2025-03-05,336,0,0,0,0,0,0,55218.24
62,FMR32121102,2025-03-01,789121,Coolblue,Ahmedabad,25891102,AM Milk 250,Dairy,397,2025-03-02,2025-03-01,377,0,1,0,1,0,0,62.0
63,FMR33902203,2025-03-01,789902,Elite Mart,Ahmedabad,25891102,AM Milk 250,Dairy,494,2025-03-03,2025-03-03,395,0,1,0,1,0,0,62.0
64,FMR34902102,2025-03-01,789902,Elite Mart,Ahmedabad,25891102,AM Milk 250,Dairy,465,2025-03-04,2025-03-05,465,1,0,0,0,1,0,62.0
65,FMR32503401,2025-03-01,789503,Viveks Stores,Vadodara,25891102,AM Milk 250,Dairy,459,2025-03-02,2025-03-02,367,0,1,0,1,0,0,62.0
66,FMR32720302,2025-03-01,789720,Colonial Farms,"New Jersey, US",25891102,AM Milk 250,Dairy,402,2025-03-02,2025-03-02,402,1,1,1,1,1,1,66064.68000000001
67,FMR33720202,2025-03-01,789720,Colonial Farms,"New Jersey, US",25891102,AM Milk 250,Dairy,483,2025-03-03,2025-03-03,483,1,1,1,1,1,1,79376.22
68,FMR34321602,2025-03-01,789321,Chiptec Stores,Ahmedabad,25891102,AM Milk 250,Dairy,368,2025-03-04,2025-03-04,331,0,1,0,1,0,0,62.0
69,FMR32103503,2025-03-01,789103,Vijay Stores,Vadodara,25891102,AM Milk 250,Dairy,307,2025-03-02,2025-03-02,246,0,1,0,1,0,0,62.0
70,FMR32421102,2025-03-01,789421,Lotus Mart,Ahmedabad,25891102,AM Milk 250,Dairy,309,2025-03-02,2025-03-04,278,0,0,0,0,0,0,62.0
71,FMR34421301,2025-03-01,789421,Lotus Mart,Ahmedabad,25891102,AM Milk 250,Dairy,412,2025-03-04,2025-03-04,391,0,1,0,1,0,0,62.0
72,FMR34320102,2025-03-01,789320,Whole Foods Market,"New Jersey, US",25891102,AM Milk 250,Dairy,432,2025-03-04,2025-03-05,432,1,0,0,0,1,0,70994.88
73,FMR32420102,2025-03-01,789420,Lidl,"New Jersey, US",25891102,AM Milk 250,Dairy,310,2025-03-02,2025-03-05,310,1,0,0,0,1,0,50945.4
74,FMR32702601,2025-03-01,789702,Sorefoz Mart,Ahmedabad,25891102,AM Milk 250,Dairy,478,2025-03-02,2025-03-02,454,0,1,0,1,0,0,62.0
75,FMR34220601,2025-03-01,789220,ShopRite,"New Jersey, US",25891102,AM Milk 250,Dairy,473,2025-03-04,2025-03-04,473,1,1,1,1,1,1,77732.82
76,FMR34201202,2025-03-01,789201,Rel Fresh,"New Jersey, US",25891102,AM Milk 250,Dairy,372,2025-03-04,2025-03-04,353,0,1,0,1,0,0,58012.020000000004
77,FMR32102102,2025-03-01,789102,Vijay Stores,Ahmedabad,25891102,AM Milk 250,Dairy,496,2025-03-02,2025-03-01,496,1,1,1,1,1,1,62.0
78,FMR34122102,2025-03-01,789122,Coolblue,Vadodara,25891102,AM Milk 250,Dairy,443,2025-03-04,2025-03-06,399,0,0,0,0,0,0,62.0
79,FMR33621102,2025-03-01,789621,Expert Mart,Ahmedabad,25891102,AM Milk 250,Dairy,480,2025-03-03,2025-03-06,480,1,0,0,0,1,0,62.0
80,FMR32622502,2025-03-01,789622,Expert Mart,Vadodara,25891502,AM Biscuits 500,Food,153,2025-03-02,2025-03-02,138,0,1,0,1,0,0,200.0
81,FMR33622502,2025-03-01,789622,Expert Mart,Vadodara,25891502,AM Biscuits 500,Food,132,2025-03-03,2025-03-03,132,1,1,1,1,1,1,200.0
82,FMR32420602,2025-03-01,789420,Lidl,"New Jersey, US",25891502,AM Biscuits 500,Food,165,2025-03-02,2025-03-04,157,0,0,0,0,0,0,77404.14
83,FMR32201502,2025-03-01,789201,Rel Fresh,"New Jersey, US",25891502,AM Biscuits 500,Food,160,2025-03-02,2025-03-02,160,1,1,1,1,1,1,78883.2
84,FMR33220603,2025-03-01,789220,ShopRite,"New Jersey, US",25891502,AM Biscuits 500,Food,211,2025-03-03,2025-03-03,211,1,1,1,1,0,0,104027.22
85,FMR33202502,2025-03-01,789202,Rel Fresh,Ahmedabad,25891502,AM Biscuits 500,Food,141,2025-03-03,2025-03-03,134,0,1,0,1,0,0,200.0
86,FMR33520502,2025-03-01,789520,Fairway Market,"New Jersey, US",25891502,AM Biscuits 500,Food,173,2025-03-03,2025-03-06,173,1,0,0,0,0,0,85292.45999999999
87,FMR34520503,2025-03-01,789520,Fairway Market,"New Jersey, US",25891502,AM Biscuits 500,Food,143,2025-03-04,2025-03-07,129,0,0,0,0,0,0,63599.579999999994
88,FMR33503502,2025-03-01,789503,Viveks Stores,Vadodara,25891502,AM Biscuits 500,Food,238,2025-03-03,2025-03-03,238,1,1,1,1,0,0,200.0
89,FMR34503502,2025-03-01,789503,Viveks Stores,Vadodara,25891502,AM Biscuits 500,Food,231,2025-03-04,2025-03-03,231,1,1,1,1,1,1,200.0
90,FMR33401603,2025-03-01,789401,Wegmans,"New Jersey, US",25891502,AM Biscuits 500,Food,140,2025-03-03,2025-03-03,133,0,1,0,1,0,0,65571.66
91,FMR34401503,2025-03-01,789401,Wegmans,"New Jersey, US",25891502,AM Biscuits 500,Food,200,2025-03-04,2025-03-04,200,1,1,1,1,1,1,98604.0
92,FMR34721502,2025-03-01,789721,Logic Stores,Ahmedabad,25891502,AM Biscuits 500,Food,123,2025-03-04,2025-03-05,98,0,0,0,0,0,0,200.0
93,FMR34702502,2025-03-01,789702,Sorefoz Mart,Ahmedabad,25891502,AM Biscuits 500,Food,239,2025-03-04,2025-03-04,215,0,1,0,1,0,0,200.0
94,FMR33521502,2025-03-01,789521,Acclaimed Stores,Ahmedabad,25891502,AM Biscuits 500,Food,167,2025-03-03,2025-03-05,167,1,0,0,0,1,0,200.0
95,FMR33520502,2025-03-01,789520,Fairway Market,"New Jersey, US",25891403,AM Curd 50,Dairy,359,2025-03-03,2025-03-06,341,0,0,0,0,0,0,28019.97
96,FMR33320501,2025-03-01,789320,Whole Foods Market,"New Jersey, US",25891403,AM Curd 50,Dairy,239,2025-03-03,2025-03-03,239,1,1,1,1,0,0,19638.63
97,FMR34422403,2025-03-01,789422,Lotus Mart,Vadodara,25891403,AM Curd 50,Dairy,265,2025-03-04,2025-03-06,252,0,0,0,0,0,0,10.0
98,FMR32903403,2025-03-01,789903,Elite Mart,Vadodara,25891403,AM Curd 50,Dairy,244,2025-03-02,2025-03-02,220,0,1,0,1,0,0,10.0
99,FMR32420403,2025-03-01,789420,Lidl,"New Jersey, US",25891403,AM Curd 50,Dairy,397,2025-03-02,2025-03-02,318,0,1,0,1,0,0,26130.06
100,FMR33101403,2025-03-01,789101,Costco Wholesale,"New Jersey, US",25891403,AM Curd 50,Dairy,315,2025-03-03,2025-03-03,283,0,1,0,1,0,0,23254.11
101,FMR32202603,2025-03-01,789202,Rel Fresh,Ahmedabad,25891403,AM Curd 50,Dairy,440,2025-03-02,2025-03-02,440,1,1,1,1,0,0,10.0
102,FMR34303602,2025-03-01,789303,Expression Stores,Vadodara,25891403,AM Curd 50,Dairy,427,2025-03-04,2025-03-04,406,0,1,0,1,0,0,10.0
103,FMR32121403,2025-03-01,789121,Coolblue,Ahmedabad,25891403,AM Curd 50,Dairy,441,2025-03-02,2025-03-02,441,1,1,1,1,1,1,10.0
104,FMR34522403,2025-03-01,789522,Acclaimed Stores,Vadodara,25891403,AM Curd 50,Dairy,320,2025-03-04,2025-03-05,320,1,0,0,0,0,0,10.0
105,FMR34103403,2025-03-01,789103,Vijay Stores,Vadodara,25891403,AM Curd 50,Dairy,467,2025-03-04,2025-03-04,420,0,1,0,1,0,0,10.0
106,FMR32220503,2025-03-01,789220,ShopRite,"New Jersey, US",25891403,AM Curd 50,Dairy,465,2025-03-02,2025-03-02,372,0,1,0,1,0,0,30567.24
107,FMR32622503,2025-03-01,789622,Expert Mart,Vadodara,25891503,AM Biscuits 250,Food,208,2025-03-02,2025-03-01,198,0,1,0,1,0,0,100.0
108,FMR34622602,2025-03-01,789622,Expert Mart,Vadodara,25891503,AM Biscuits 250,Food,241,2025-03-04,2025-03-04,241,1,1,1,1,0,0,100.0
109,FMR33720503,2025-03-01,789720,Colonial Farms,"New Jersey, US",25891503,AM Biscuits 250,Food,146,2025-03-03,2025-03-04,146,1,0,0,0,1,0,35990.46
110,FMR32220503,2025-03-01,789220,ShopRite,"New Jersey, US",25891503,AM Biscuits 250,Food,115,2025-03-02,2025-03-02,103,0,1,0,1,0,0,25390.53
111,FMR33220603,2025-03-01,789220,ShopRite,"New Jersey, US",25891503,AM Biscuits 250,Food,239,2025-03-03,2025-03-03,239,1,1,1,1,0,0,58915.89
112,FMR34321602,2025-03-01,789321,Chiptec Stores,Ahmedabad,25891503,AM Biscuits 250,Food,246,2025-03-04,2025-03-04,246,1,1,1,1,0,0,100.0
113,FMR32221603,2025-03-01,789221,Atlas Stores,Ahmedabad,25891503,AM Biscuits 250,Food,158,2025-03-02,2025-03-02,158,1,1,1,1,0,0,100.0
114,FMR33221503,2025-03-01,789221,Atlas Stores,Ahmedabad,25891503,AM Biscuits 250,Food,106,2025-03-03,2025-03-03,101,0,1,0,1,0,0,100.0
115,FMR32103503,2025-03-01,789103,Vijay Stores,Vadodara,25891503,AM Biscuits 250,Food,126,2025-03-02,2025-03-02,120,0,1,0,1,0,0,100.0
116,FMR33401603,2025-03-01,789401,Wegmans,"New Jersey, US",25891503,AM Biscuits 250,Food,161,2025-03-03,2025-03-03,145,0,1,0,1,0,0,35743.95
117,FMR34401503,2025-03-01,789401,Wegmans,"New Jersey, US",25891503,AM Biscuits 250,Food,192,2025-03-04,2025-03-04,192,1,1,1,1,1,1,47329.92
118,FMR34721503,2025-03-01,789721,Logic Stores,Ahmedabad,25891503,AM Biscuits 250,Food,144,2025-03-04,2025-03-04,137,0,1,0,1,0,0,100.0
119,FMR33320503,2025-03-01,789320,Whole Foods Market,"New Jersey, US",25891503,AM Biscuits 250,Food,140,2025-03-03,2025-03-06,140,1,0,0,0,1,0,34511.4
120,FMR34520503,2025-03-01,789520,Fairway Market,"New Jersey, US",25891503,AM Biscuits 250,Food,233,2025-03-04,2025-03-07,221,0,0,0,0,0,0,54478.71
121,FMR32101601,2025-03-01,789101,Costco Wholesale,"New Jersey, US",25891503,AM Biscuits 250,Food,183,2025-03-02,2025-03-02,183,1,1,1,1,1,1,45111.33
122,FMR32422503,2025-03-01,789422,Lotus Mart,Vadodara,25891503,AM Biscuits 250,Food,138,2025-03-02,2025-03-03,110,0,0,0,0,0,0,100.0
123,FMR34603302,2025-03-01,789603,Info Stores,Vadodara,25891103,AM Milk 100,Dairy,378,2025-03-04,2025-03-04,378,1,1,1,1,1,1,25.0
124,FMR34702602,2025-03-01,789702,Sorefoz Mart,Ahmedabad,25891103,AM Milk 100,Dairy,480,2025-03-04,2025-03-03,432,0,1,0,1,0,0,25.0
125,FMR32601103,2025-03-01,789601,Price Rite,"New Jersey, US",25891103,AM Milk 100,Dairy,310,2025-03-02,2025-03-02,294,0,1,0,1,0,0,24157.98
126,FMR34601402,2025-03-01,789601,Price Rite,"New Jersey, US",25891103,AM Milk 100,Dairy,388,2025-03-04,2025-03-04,310,0,1,0,1,0,0,25472.7
127,FMR33303501,2025-03-01,789303,Expression Stores,Vadodara,25891103,AM Milk 100,Dairy,335,2025-03-03,2025-03-03,335,1,1,1,1,1,1,25.0
128,FMR32621103,2025-03-01,789621,Expert Mart,Ahmedabad,25891103,AM Milk 100,Dairy,431,2025-03-02,2025-03-02,431,1,1,1,1,1,1,25.0
129,FMR34621103,2025-03-01,789621,Expert Mart,Ahmedabad,25891103,AM Milk 100,Dairy,357,2025-03-04,2025-03-04,339,0,1,0,1,0,0,25.0
130,FMR32501601,2025-03-01,789501,Best Market,"New Jersey, US",25891103,AM Milk 100,Dairy,318,2025-03-02,2025-03-02,318,1,1,1,1,0,0,26130.06
131,FMR33501401,2025-03-01,789501,Best Market,"New Jersey, US",25891103,AM Milk 100,Dairy,400,2025-03-03,2025-03-03,400,1,1,1,1,0,0,32868.0
132,FMR34501203,2025-03-01,789501,Best Market,"New Jersey, US",25891103,AM Milk 100,Dairy,327,2025-03-04,2025-03-04,327,1,1,1,1,1,1,26869.59
133,FMR34402202,2025-03-01,789402,Propel Mart,Ahmedabad,25891103,AM Milk 100,Dairy,340,2025-03-04,2025-03-04,272,0,1,0,1,0,0,25.0
134,FMR32221603,2025-03-01,789221,Atlas Stores,Ahmedabad,25891103,AM Milk 100,Dairy,430,2025-03-02,2025-03-02,430,1,1,1,1,0,0,25.0
135,FMR33522103,2025-03-01,789522,Acclaimed Stores,Vadodara,25891103,AM Milk 100,Dairy,384,2025-03-03,2025-03-04,384,1,0,0,0,1,0,25.0
136,FMR33503502,2025-03-01,789503,Viveks Stores,Vadodara,25891103,AM Milk 100,Dairy,325,2025-03-03,2025-03-03,309,0,1,0,1,0,0,25.0
137,FMR33122301,2025-03-01,789122,Coolblue,Vadodara,25891103,AM Milk 100,Dairy,403,2025-03-03,2025-03-05,403,1,0,0,0,0,0,25.0
138,FMR34122103,2025-03-01,789122,Coolblue,Vadodara,25891103,AM Milk 100,Dairy,458,2025-03-04,2025-03-03,458,1,1,1,1,1,1,25.0
139,FMR32401103,2025-03-01,789401,Wegmans,"New Jersey, US",25891103,AM Milk 100,Dairy,476,2025-03-02,2025-03-02,476,1,1,1,1,1,1,39112.92
140,FMR34301103,2025-03-01,789301,Foodtown,"New Jersey, US",25891103,AM Milk 100,Dairy,351,2025-03-04,2025-03-06,351,1,0,0,0,1,0,28841.670000000002
141,FMR34902103,2025-03-01,789902,Elite Mart,Ahmedabad,25891103,AM Milk 100,Dairy,456,2025-03-04,2025-03-06,410,0,0,0,0,0,0,25.0
142,FMR32202603,2025-03-01,789202,Rel Fresh,Ahmedabad,25891103,AM Milk 100,Dairy,389,2025-03-02,2025-03-02,370,0,1,0,1,0,0,25.0
143,FMR34721103,2025-03-01,789721,Logic Stores,Ahmedabad,25891103,AM Milk 100,Dairy,468,2025-03-04,2025-03-06,468,1,0,0,0,1,0,25.0
144,FMR33420203,2025-03-01,789420,Lidl,"New Jersey, US",25891103,AM Milk 100,Dairy,357,2025-03-03,2025-03-06,357,1,0,0,0,1,0,29334.690000000002
145,FMR34420402,2025-03-01,789420,Lidl,"New Jersey, US",25891103,AM Milk 100,Dairy,325,2025-03-04,2025-03-05,325,1,0,0,0,1,0,26705.25
146,FMR32321103,2025-03-01,789321,Chiptec Stores,Ahmedabad,25891103,AM Milk 100,Dairy,478,2025-03-02,2025-03-03,478,1,0,0,0,1,0,25.0
147,FMR33321602,2025-03-01,789321,Chiptec Stores,Ahmedabad,25891103,AM Milk 100,Dairy,465,2025-03-03,2025-03-03,419,0,1,0,1,0,0,25.0
148,FMR32422401,2025-03-01,789422,Lotus Mart,Vadodara,25891103,AM Milk 100,Dairy,317,2025-03-02,2025-03-04,317,1,0,0,0,1,0,25.0
149,FMR34522601,2025-03-01,789522,Acclaimed Stores,Vadodara,25891601,AM Tea 500,beverages,181,2025-03-04,2025-03-07,163,0,0,0,0,0,0,225.0
150,FMR32202603,2025-03-01,789202,Rel Fresh,Ahmedabad,25891601,AM Tea 500,beverages,125,2025-03-02,2025-03-02,119,0,1,0,1,0,0,225.0
151,FMR32702601,2025-03-01,789702,Sorefoz Mart,Ahmedabad,25891601,AM Tea 500,beverages,93,2025-03-02,2025-03-02,74,0,1,0,1,0,0,225.0
152,FMR33520601,2025-03-01,789520,Fairway Market,"New Jersey, US",25891601,AM Tea 500,beverages,182,2025-03-03,2025-03-05,146,0,0,0,0,0,0,71980.92
153,FMR32902601,2025-03-01,789902,Elite Mart,Ahmedabad,25891601,AM Tea 500,beverages,93,2025-03-02,2025-03-03,88,0,0,0,0,0,0,225.0
154,FMR33103602,2025-03-01,789103,Vijay Stores,Vadodara,25891601,AM Tea 500,beverages,188,2025-03-03,2025-03-03,150,0,1,0,1,0,0,225.0
155,FMR33201602,2025-03-01,789201,Rel Fresh,"New Jersey, US",25891601,AM Tea 500,beverages,180,2025-03-03,2025-03-03,171,0,1,0,1,0,0,84306.42
156,FMR34622602,2025-03-01,789622,Expert Mart,Vadodara,25891601,AM Tea 500,beverages,96,2025-03-04,2025-03-04,91,0,1,0,1,0,0,225.0
157,FMR32101601,2025-03-01,789101,Costco Wholesale,"New Jersey, US",25891601,AM Tea 500,beverages,124,2025-03-02,2025-03-02,124,1,1,1,1,1,1,61134.479999999996
158,FMR34220601,2025-03-01,789220,ShopRite,"New Jersey, US",25891601,AM Tea 500,beverages,78,2025-03-04,2025-03-04,78,1,1,1,1,1,1,38455.56
159,FMR34122601,2025-03-01,789122,Coolblue,Vadodara,25891601,AM Tea 500,beverages,68,2025-03-04,2025-03-07,61,0,0,0,0,0,0,225.0
